дата,час,купівля,продаж,курснбу
2022-12-28,15:30:00,40.05,40.85,36.5686
2022-12-29,07:41:59,40.05,40.8,36.5686
2022-12-29,11:20:06,40.05,40.8,36.5686
2022-12-29,12:51:58,40.05,40.8,36.5686
2022-12-29,12:52:40,40.05,40.8,36.5686
2022-12-29,15:30:00,40.15,40.9,36.5686
2022-12-30,08:16:30,40.12,40.88,36.5686
2023-01-01,23:31:25,40.15,40.9,36.5686
2023-01-03,08:28:56,40.2,40.9,0.0
2023-01-04,08:16:54,40.15,40.85,36.5686
2023-01-05,08:00:45,40.25,40.85,36.5686
2023-01-06,09:05:13,40.25,40.85,0.0
2023-01-09,00:00:20,40.2,40.8,36.5686
2023-01-09,14:20:00,40.3,40.88,0.0
2023-01-10,08:54:37,40.38,40.95,36.5686
2023-01-11,08:42:30,40.35,40.9,36.5686
2023-01-11,14:47:27,40.2,40.8,36.5686
2023-01-12,08:30:53,40.25,40.8,36.5686
2023-01-13,12:37:53,40.3,40.9,36.5686
2023-01-13,08:39:41,40.3,40.9,36.5686
2023-01-15,21:37:48,40.25,40.9,0.0
2023-01-17,00:00:41,40.25,40.85,0.0
2023-01-18,08:47:07,40.25,40.85,36.5686
2023-01-18,14:47:28,40.25,40.85,36.5686
2023-01-19,08:15:57,40.25,40.9,36.5686
2023-01-19,22:57:44,40.2,40.8,36.5686
2023-01-23,00:00:57,40.15,40.8,36.5686
2023-01-24,08:11:43,40.2,40.8,36.5686
2023-01-24,15:01:29,40.2,40.8,36.5686
2023-01-25,09:01:34,40.25,40.85,36.5686
2023-01-25,09:00:57,40.25,40.85,36.5686
2023-01-26,01:35:49,40.25,40.85,36.5686
2023-01-26,22:56:57,40.25,40.85,36.5686
2023-01-30,00:00:35,40.25,40.85,36.5686
2023-01-31,00:13:01,40.2,40.85,36.5686
2023-01-31,13:22:46,40.0,40.8,36.5686
2023-02-01,08:37:19,40.1,40.75,36.5686
2023-02-01,23:55:29,40.1,40.8,36.5686
2023-02-02,13:55:24,39.95,40.7,36.5686
2023-02-03,09:07:09,39.8,40.6,36.5686
2023-02-06,00:10:21,39.8,40.6,36.5686
2023-02-06,23:37:22,39.8,40.55,36.5686
